,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Total,Notes to Developers
   6500 Staff Costing,,,,,,,,,,0.00   ,
      6504 Payroll - Employees,"25,844.08   ","35,905.32   ","63,637.84   ","43,361.03   ","39,276.82   ","36,751.84   ","38,526.56   ","67,326.71   ","31,787.93   ","382,418.13   ",Expense (should be in the Bills file)
      6505 Payroll Taxes,"2,697.82   ","3,297.35   ","5,345.60   ","3,415.79   ","3,007.80   ","2,811.50   ","2,947.27   ","5,150.46   ","2,295.38   ","30,968.97   ",Expense (should be in the Bills file)
      6507 Medical Professional Fees,"60,571.27   ","74,271.51   ","111,639.61   ","73,241.51   ","70,321.76   ","76,053.98   ","95,404.19   ","159,545.32   ","70,296.31   ","791,345.46   ",Expense (should be in the Bills file)
      6510 Health Insurance,721.89   ,305.57   ,513.73   ,513.73   ,513.73   ,513.73   ,513.73   ,"1,511.64   ",-484.18   ,"4,623.57   ",Expense (should be in the Bills file)
      6513 Workers Comp,87.02   ,120.29   ,207.70   ,140.04   ,125.52   ,121.79   ,125.67   ,215.59   ,107.56   ,"1,251.18   ",Expense (should be in the Bills file)
      6520 Payroll Processing Fees,328.86   ,365.40   ,656.19   ,365.40   ,328.86   ,292.32   ,292.32   ,438.48   ,292.32   ,"3,360.15   ",Expense (should be in the Bills file)
   Total 6500 Staff Costing,"$90,250.94   ","$114,265.44   ","$182,000.67   ","$121,037.50   ","$113,574.49   ","$116,545.16   ","$137,809.74   ","$234,188.20   ","$104,295.32   ","$1,213,967.46   ",
   6840 Overhead Costs,,,,,,,,,,0.00   ,
      6290 Rent Expense,"6,622.30   ","6,953.41   ","6,953.41   ","6,953.41   ","6,953.41   ","6,953.41   ","6,953.41   ","6,953.41   ","6,953.41   ","62,249.58   ",Expense (should be in the Bills file)
      6300 Repairs and Maintenance,,,"7,086.00   ",,"6,450.00   ","7,720.00   ","4,480.00   ",,,"25,736.00   ",Expense (should be in the Bills file)
         6301 Repairs and Maintenance,"2,794.94   ","17,645.23   ","16,960.42   ","2,034.70   ","2,688.70   ","5,039.71   ","2,698.73   ","3,454.42   ","11,463.78   ","64,780.63   ",Expense (should be in the Bills file)
         6800 Waste Management,,,,,,,,,980.00   ,980.00   ,Expense (should be in the Bills file)
      Total 6300 Repairs and Maintenance,"$2,794.94   ","$17,645.23   ","$24,046.42   ","$2,034.70   ","$9,138.70   ","$12,759.71   ","$7,178.73   ","$3,454.42   ","$12,443.78   ","$91,496.63   ", 
      6390 Utilities,"1,960.00   ",980.00   ,980.00   ,980.00   ,980.00   ,,"1,960.00   ",980.00   ,,"8,820.00   ",Expense (should be in the Bills file)
         6394 Electric,727.57   ,748.75   ,795.25   ,855.30   ,976.95   ,885.00   ,"1,071.15   ","1,023.82   ","1,012.35   ","8,096.14   ",Expense (should be in the Bills file)
         6395 Water,,,,,,,"2,038.24   ",,,"2,038.24   ",Expense (should be in the Bills file)
      Total 6390 Utilities,"$2,687.57   ","$1,728.75   ","$1,775.25   ","$1,835.30   ","$1,956.95   ",$885.00   ,"$5,069.39   ","$2,003.82   ","$1,012.35   ","$18,954.38   ",
   Total 6840 Overhead Costs,"$12,104.81   ","$26,327.39   ","$32,775.08   ","$10,823.41   ","$18,049.06   ","$20,598.12   ","$19,201.53   ","$12,411.65   ","$20,409.54   ","$172,700.59   ",
Total Expenses,"$105,836.96   ","$142,061.95   ","$229,918.37   ","$147,649.04   ","$136,329.34   ","$165,257.38   ","$162,559.72   ","$253,292.54   ","$129,830.00   ","$1,472,735.30   ",
Net Operating Income,"$48,905.39   ","$190,952.46   ","$121,067.67   ","-$96,228.30   ","$152,719.80   ","$171,757.60   ","$127,976.77   ","-$16,575.73   ","$163,332.37   ","$863,908.03   ",
Net Income,"$48,905.39   ","$190,952.46   ","$121,067.67   ","-$96,228.30   ","$152,719.80   ","$171,757.60   ","$127,976.77   ","-$16,575.73   ","$163,332.37   ","$863,908.03   ",
